headline,type
An acquaintance of the homeowner tips off a thief about valuables inside.,Theft
A homeowner fakes a break-in to collect insurance money.,Theft
"A storage unit is broken into, and belongings are stolen.",Theft
Tools or equipment are stolen from a garage.,Theft
A thief targets unlocked homes during the day while residents are away.,Theft
Thieves steal appliances or furniture from a rental property before moving out.,Theft
A group of teenagers target wealthy neighborhoods for nighttime break-ins.,Theft
A thief breaks into a house through a window and steals valuables.,Theft
Office supplies like pens and paper go missing from a workplace.,Theft
A customer steals food from a restaurant.,Theft
Money is stolen from a vending machine.,Theft
Beachgoers return to find their belongings stolen.,Theft
Valuables are stolen from lockers at a gym or school.,Theft
Books or movies are stolen from a library.,Theft
A driver pumps gas and leaves without paying.,Theft
A delivery package is stolen from a porch.,Theft
A skilled pickpocket lifts a wallet from a crowded bus.,Theft
A teenager steals clothes from a department store.,Theft
A player suffers a serious injury during a sporting event.,Accidents
A child falls on the playground equipment and is injured.,Accidents
A swimmer gets caught in a rip current and drowns.,Accidents
 A cyclist crashes and suffers road rash.,Accidents
"A tent collapses during a storm, injuring campers.",Accidents
A hiker gets lost in the wilderness and suffers exposure.,Accidents
A malfunction on a ride at an amusement park injures passengers.,Accidents
A rider is thrown from a horse and sustains injuries.,Accidents
"A boat capsizes on a lake, leaving people stranded in the water.",Accidents
A skier falls on the slopes and suffers a broken bone.,Accidents
"A faulty furnace leaks carbon monoxide, causing illness within the home.",Accidents
 A family gets food poisoning from eating contaminated food.,Accidents
A child chokes on a small object.,Accidents
A pet dog attacks and injures someone.,Accidents
Someone receives an electrical shock from a faulty appliance.,Accidents
A gas leak in a home leads to an explosion and injuries.,Accidents
A child drowns in a backyard pool accident.,Accidents
A house fire displaces a family and destroys their belongings.,Accidents
A child accidentally ingests a poisonous substance.,Accidents
An elderly person falls at home and suffers a hip fracture.,Accidents
" A fire breaks out at a workplace, causing injuries and property damage.",Accidents
A farmer is injured by farm equipment.,Accidents
"A worker is exposed to harmful toxins in their workplace, leading to long-term health problems.",Accidents
"A disgruntled employee attacks a coworker, resulting in injuries.",Accidents
An office worker develops a repetitive strain injury due to poor ergonomics.,Accidents
"A worker slips and falls on a wet floor, sustaining serious injuries.",Accidents
An electrician is electrocuted while working on live wires.,Accidents
A chemical spill at a manufacturing plant leads to worker injuries.,Accidents
A malfunctioning machine injures a factory worker.,Accidents
A worker falls from scaffolding at a construction site.,Accidents
"A school bus is involved in a collision with another vehicle, injuring students.",Accidents
A pedestrian is struck by a car while crossing the street.,Accidents
A motorcyclist loses control on a curve and crashes.,Accidents
A cyclist is struck by a car that fails to yield the right of way.,Accidents
" A car suffers a mechanical failure, causing the driver to lose control and crash.",Accidents
A driver loses control on a slick road during a snowstorm.,Accidents
" A fatigued driver falls asleep at the wheel, resulting in an accident.",Accidents
A driver exceeding the speed limit loses control and crashes.,Accidents
A driver texting while behind the wheel causes a multi-car pileup.,Accidents
Two cars traveling in opposite directions collide head-on due to a drunk driver.,Accidents
A violent act within a prison leads to a revenge killing between inmates.,Murder
 Someone who exposes wrongdoing is silenced with a deadly act of revenge.,Murder
"Relentless cyberbullying drives a victim to suicide, and the perpetrator is later murdered by someone close to the victim.",Murder
 A murderer eliminates a witness who could identify them.,Murder
A gang-related murder sparks a cycle of revenge killings that plagues the community.,Murder
"A family member takes matters into their own hands, enacting revenge for a past wrong.",Murder
An art collector murders a rival collector to acquire a priceless piece.,Murder
 A gang eliminates someone who threatens their illegal operations.,Murder
An employee with access to company secrets is murdered to prevent them from exposing a financial crime.,Murder
"A seemingly perfect financial scheme unravels, leading to a desperate murder to maintain the facade.",Murder
 An embezzler kills their employer to cover their tracks and escape with the stolen money.,Murder
A murderer targets elderly homeowners to obtain their property.,Murder
A family member murders another to secure a larger share of the inheritance.,Murder
A hitman is hired to eliminate someone for a hefty fee.,Murder
A staged burglary turns deadly when the perpetrator eliminates a witness to their crime.,Murder
A wealthy beneficiary murders the insured person to collect a life insurance payout.,Murder
" A murderer targets people in love relationships, motivated by the thrill of destroying their happiness.",Murder
Jealousy and possessiveness within a polyamorous relationship lead to murder.,Murder
"An intense, obsessive infatuation develops into a deadly fixation.",Murder
A manipulative person seduces someone's partner and eliminates the original spouse to be with them.,Murder
A seemingly innocent third party in a love triangle orchestrates the murder of one of the lovers to have the other for themselves.,Murder
 Two same-sex lovers are murdered in a hate crime due to their relationship.,Murder
A jilted lover seeks revenge by killing their ex and their new partner.,Murder
Two star-crossed lovers from rival families are killed by their families to preserve honor.,Murder
A love affair gone wrong leads to murder when one partner threatens to reveal a compromising secret.,Murder
A rejected lover becomes fixated and eliminates the object of their affection in a jealous rage.,Murder
 A child raised in a violent household witnesses a murder and grows up to become a killer themselves.,Murder
A disabled or elderly person is murdered by a caretaker who exploits their trust.,Murder
A caregiver murders an elderly person for their inheritance.,Murder
A family member murders a woman deemed to have brought dishonor to the family.,Murder
"In a culture with dowries, a husband kills his wife over a perceived insufficient dowry payment.",Murder
A spouse trying to leave an abusive relationship is murdered by their partner to prevent them from escaping.,Murder
"A parent, fearing for their child's safety, kills their abusive partner.",Murder
"A controlling spouse meticulously plans their partner's demise, staging it as an accident.",Murder
"A heated argument between lovers escalates to violence, resulting in a deadly act of rage.",Murder
"Years of abuse culminate when a spouse snaps, killing their partner in a murder-suicide.",Murder
"A series of seemingly unconnected murders baffle police until a pattern emerges, revealing a calculating killer.",Murder
An innocent bystander is caught in the crossfire during a robbery gone wrong.,Murder
A gang-related murder sparks a cycle of revenge killings that plagues the community.,Murder
"A family member takes matters into their own hands, enacting revenge for a past wrong.",Murder
A staged burglary turns deadly when the perpetrator eliminates a witness to their crime.,Murder
A wealthy beneficiary murders the insured person to collect a life insurance payout.,Murder
A love affair gone wrong leads to murder when one partner threatens to reveal a compromising secret.,Murder
A rejected lover becomes fixated and eliminates the object of their affection in a jealous rage.,Murder
"A heated argument between spouses escalates to violence, resulting in a deadly act of rage.",Murder
A long history of abuse ends tragically when a spouse kills their partner in a murder-suicide attempt.,Murder
A roommate creates a hostile living environment with unwanted touching and suggestive behavior.,Sexual Harrasment
A babysitter is harassed by a parent who makes unwanted advances.,Sexual Harrasment
"A therapist crosses boundaries with a client, making sexual advances or comments.",Sexual Harrasment
A personal trainer makes inappropriate comments and touches during a workout session.,Sexual Harrasment
A patient is sexually harassed by a medical professional during a physical exam.,Sexual Harrasment
A person using a public restroom is harassed or stalked by another user in the bathroom.,Sexual Harrasment
A person is catcalled or subjected to unwanted comments based on their appearance while walking down the street,Sexual Harrasment
A customer is harassed by a store employee who makes suggestive remarks and follows them around the store.,Sexual Harrasment
A person using public transportation is groped or subjected to lewd comments by another passenger.,Sexual Harrasment
A woman walking alone at night is followed and harassed by a group of men.,Sexual Harrasment
A virtual reality user reports being groped and harassed by another player in a virtual world.,Sexual Harrasment
A dating app user experiences unwanted sexual advances and lewd messages.,Sexual Harrasment
A teenager is cyberstalked by a stranger who makes graphic sexual comments online.,Sexual Harrasment
A social media influencer receives unsolicited nude photos and messages from followers.,Sexual Harrasment
A gamer is harassed and threatened with sexual violence during an online game.,Sexual Harrasment
A reality TV contestant is harassed and bullied by other houseguests with unwanted advances and physical contact,Sexual Harrasment
A religious leader is accused of sexual misconduct with members of their congregation.,Sexual Harrasment
A female athlete is pressured by her coach to wear revealing clothing during competitions.,Sexual Harrasment
"A male celebrity is falsely accused of sexual assault, damaging his reputation.",Sexual Harrasment
A female politician receives threatening messages and online harassment after proposing legislation seen as anti-male.,Sexual Harrasment
A teacher's aide is subjected to unwanted touching and advances from a special needs student's parent.,Sexual Harrasment
A group of students create a hostile environment for a transgender classmate with lewd comments and bathroom harassment.,Sexual Harrasment
A student athlete is harassed and groped by their coach during training sessions,Sexual Harrasment
A college professor pressures a student for sexual favors in exchange for a passing grade,Sexual Harrasment
A high school student is cyberbullied with sexually suggestive messages from a classmate,Sexual Harrasment
A same-sex couple faces unwelcome advances from a coworker who doesn't understand their boundaries,Sexual Harrasment
A nurse is harassed by a doctor who touches her inappropriately during examinations,Sexual Harrasment
A teacher makes suggestive comments and gives preferential treatment to students who flirt back,Sexual Harrasment
A retail employee is pressured for sexual favors in exchange for better shifts,Sexual Harrasment
A construction worker endures unwanted physical contact from a foreman,Sexual Harrasment
A waitress is propositioned by a customer who refuses to leave after being denied service,Sexual Harrasment
"A group of male coworkers constantly make lewd jokes and pinups are displayed in a common area, creating a hostile work environment",Sexual Harrasment
A manager withholds a promotion from a female employee unless she agrees to go on a date,Sexual Harrasment
A delivery driver faces groping and suggestive remarks from a customer,Sexual Harrasment
A female intern is subjected to unwanted sexual comments and advances from a senior male colleague.,Sexual Harrasment
